iter	Passed	Remaining
0	0	716
1	1	570
2	2	940
3	4	1090
4	6	1214
5	7	1299
6	8	1232
7	9	1129
8	9	1050
9	9	984
10	10	932
11	10	888
12	11	851
13	11	820
14	12	812
15	14	906
16	16	925
17	17	932
18	18	940
19	19	936
20	25	1181
21	25	1152
22	26	1122
23	26	1093
24	27	1064
25	27	1036
26	28	1012
27	28	990
28	28	970
29	29	951
30	30	947
31	32	997
32	34	1016
33	35	1004
34	35	986
35	36	969
36	36	953
37	37	939
38	38	937
39	39	951
40	41	974
41	42	977
42	43	963
43	43	952
44	44	941
45	44	928
46	45	916
47	45	904
48	46	892
49	46	881
50	46	871
51	47	861
52	47	852
53	48	842
54	48	833
55	48	825
56	49	818
57	50	826
58	52	837
59	55	863
60	56	871
61	57	869
62	58	870
63	59	869
64	61	885
65	63	895
66	68	950
67	69	951
68	70	946
69	71	949
70	72	954
71	74	959
72	74	950
73	77	965
74	78	967
75	79	961
76	80	960
77	81	957
78	81	954
79	82	953
80	83	947
81	84	951
82	85	949
83	88	964
84	89	963
85	90	963
86	91	959
87	92	959
88	94	962
89	94	959
90	96	961
91	97	966
92	99	966
93	100	966
94	101	966
95	102	965
96	103	963
97	104	959
98	104	954
99	106	957
100	107	959
101	109	963
102	110	963
103	111	961
104	115	980
105	116	983
106	118	989
107	120	995
108	122	997
109	123	999
110	124	998
111	126	1002
112	127	1004
113	129	1006
114	131	1008
115	132	1008
116	133	1009
117	135	1011
118	136	1011
119	138	1015
120	139	1016
121	141	1017
122	143	1024
123	145	1025
124	146	1023
125	147	1020
126	148	1021
127	150	1023
128	151	1024
129	161	1078
130	161	1074
131	162	1069
132	163	1065
133	164	1060
134	164	1055
135	165	1050
136	166	1045
137	166	1041
138	167	1037
139	168	1033
140	168	1028
141	169	1023
142	169	1018
143	171	1020
144	173	1021
145	173	1017
146	174	1014
147	175	1009
148	176	1006
149	177	1003
150	178	1001
151	179	1001
152	181	1003
153	182	1004
154	184	1004
155	185	1003
156	187	1006
157	191	1020
158	193	1023
159	194	1021
160	196	1024
161	197	1023
162	199	1023
163	201	1026
164	202	1024
165	203	1020
166	204	1019
